epoch,acc,loss,val_acc,val_loss
0,0.88760683628229,0.39414629875085294,0.9530172389129112,0.12991316757839302
1,0.9599002825568544,0.09920742362472322,0.9739942584914723,0.06472044168361302
2,0.9751068413087786,0.0629128745605803,0.9795977062192457,0.05237099517607826
3,0.9816239379410051,0.0462668985606004,0.9801724162595026,0.04417558827694377
4,0.9861467292166164,0.03662707619276163,0.9814655287512417,0.04840708489197938
5,0.9881054186753059,0.029367812463092988,0.9869252916040092,0.035095991897289694
6,0.9905270696365596,0.024743996506677596,0.9897988555075108,0.029301647318998116
7,0.9919159597481079,0.02102188944332023,0.9846264418514296,0.041342105913168656
8,0.9931623971360362,0.018432968052790998,0.9902298909494247,0.02666099209011594
9,0.9941239355296491,0.0165206014457377,0.9866379355562145,0.03720713817733929
10,0.9948005735704363,0.014237276611990127,0.9908046023599033,0.02846187793237596
11,0.9959045616310207,0.01158105421463423,0.9886494320014427,0.03205081511335046
12,0.9962250741458686,0.01061554648886495,0.9875000057549312,0.03460815556758169
13,0.9966168116640162,0.009428170923941038,0.9906609243360059,0.025785901116271805
14,0.9970797745250909,0.008290249721597026,0.9915229945347227,0.026534178545387414
15,0.9972578370333397,0.006813803961029827,0.9905172456269977,0.02914363439358776
16,0.9977564118866228,0.0060836061991882745,0.9918103505825174,0.028774115973270644
17,0.9980056997377988,0.005507370144212919,0.9929597754588072,0.023406863115823576
18,0.9981481495745841,0.005019164999417144,0.9909482803838007,0.0298997264658126
19,0.9986467247674947,0.003803424250957588,0.9915229938496118,0.031749197708706205
